City,Country,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind_Speed
Cape Town,South Africa,2020-02-27,72.91,29.31,68.13,10.47,4.32,15.66,30.37,29.8,56.5,0.8
New York,USA,2016-06-16,61.62,35.66,56.28,10.63,18.31,25.1,15.17,35.5,50.5,9.2
Sao Paulo,Brazil,2018-02-01,105.37,58.99,106.76,16.66,14.37,31.32,12.4,21.6,71.5,1.1
Moscow,Russia,2021-11-25,97.92,46.51,83.67,12.99,17.11,10.84,19.81,22.5,51.9,1.0
Sao Paulo,Brazil,2015-11-19,130.15,85.26,168.08,25.2,13.11,34.81,20.39,25.0,78.9,4.9
Dhaka,Bangladesh,2022-02-17,263.41,101.09,202.17,42.09,31.9,74.04,45.74,19.9,90.1,3.4
Cairo,Egypt,2018-11-29,212.18,103.74,180.64,35.52,34.26,58.98,38.74,35.0,80.4,6.1
Sydney,Australia,2016-12-01,73.49,17.4,28.93,17.22,2.08,23.57,1.68,10.6,57.4,6.0
Tokyo,Japan,2023-12-07,89.55,41.31,65.98,15.77,9.05,28.46,26.42,14.9,51.9,6.5
Tokyo,Japan,2016-01-07,70.38,11.35,0.0,0.73,7.74,21.76,4.32,17.8,68.3,6.7
Berlin,Germany,2018-05-10,50.65,49.88,119.43,4.93,12.68,8.49,12.65,37.8,60.3,7.1
Cape Town,South Africa,2015-01-29,110.95,38.07,70.11,25.62,9.68,11.61,23.65,17.4,80.2,4.0
Mexico City,Mexico,2023-05-25,105.44,46.54,81.16,14.13,4.21,26.62,27.69,18.6,53.9,3.6
Lagos,Nigeria,2016-11-10,194.89,86.57,157.75,35.4,29.78,55.58,44.18,13.7,65.2,5.5
Delhi,India,2024-08-22,241.67,121.68,227.13,42.03,39.85,74.37,42.86,9.4,46.5,7.8
Mexico City,Mexico,2020-08-27,135.04,72.8,132.43,19.78,25.03,30.81,22.89,20.3,64.2,5.4
Lagos,Nigeria,2019-05-16,110.12,28.82,56.48,13.66,16.46,34.11,31.87,22.1,71.8,2.7
Karachi,Pakistan,2019-09-12,163.2,62.81,144.53,30.05,16.71,47.18,42.56,34.6,31.0,3.6
Dhaka,Bangladesh,2024-07-11,209.36,82.22,172.05,33.83,32.66,66.63,33.58,18.2,68.4,1.2
Seoul,South Korea,2016-12-22,127.18,51.08,74.2,31.38,18.49,23.31,40.27,13.9,85.0,6.6
Istanbul,Turkey,2020-01-23,170.87,68.15,109.85,25.77,26.89,42.41,36.92,22.1,61.4,7.2
Delhi,India,2016-03-03,147.37,59.31,115.71,29.5,14.6,39.67,20.97,15.6,80.0,2.9
Mumbai,India,2017-08-31,128.24,71.59,118.5,25.66,19.82,23.07,27.87,26.9,60.7,3.2
Delhi,India,2016-09-01,194.07,96.67,179.05,38.66,21.58,41.09,42.43,27.2,68.8,6.7
Los Angeles,USA,2017-07-06,88.18,50.94,91.93,11.27,16.31,24.81,12.35,11.4,64.2,2.7
Nairobi,Kenya,2018-07-05,62.14,29.06,38.97,,6.75,9.83,4.81,19.5,75.9,6.7
Seoul,South Korea,2017-10-05,124.66,65.69,146.45,24.56,6.84,45.02,28.78,16.6,58.2,7.1
Seoul,South Korea,2024-07-04,107.01,23.9,34.78,20.55,8.63,30.66,22.35,4.8,85.4,6.7
Dhaka,Bangladesh,2019-12-12,232.59,103.72,167.18,52.05,32.11,63.73,49.59,19.8,95.0,14.4
Mexico City,Mexico,2023-03-16,143.62,75.07,170.32,22.15,24.14,36.62,18.83,11.3,58.5,4.2
Buenos Aires,Argentina,2021-01-28,75.57,37.99,81.47,13.3,7.01,25.42,9.66,16.7,52.5,6.5
Seoul,South Korea,2025-01-02,139.18,68.96,131.74,19.8,20.3,20.37,28.9,30.8,82.1,4.1
Dubai,UAE,2017-11-16,133.18,49.85,83.94,15.34,13.76,39.04,18.3,23.3,41.5,5.3
Delhi,India,2018-11-29,263.62,106.33,221.73,54.2,30.7,75.03,42.95,10.9,80.7,4.2
Singapore,Singapore,2022-07-07,67.16,22.3,45.72,6.9,10.78,9.55,20.66,18.7,72.5,4.5
Nairobi,Kenya,2018-02-08,152.61,72.5,128.35,18.48,11.82,38.57,29.91,17.2,45.1,2.8
New York,USA,2017-08-31,60.74,8.12,6.23,16.79,3.06,9.19,4.12,15.8,71.2,6.6
Lagos,Nigeria,2016-02-04,221.97,85.69,188.79,40.28,28.16,77.44,46.58,5.8,58.6,6.8
Paris,France,2018-07-26,68.27,27.93,55.15,13.96,4.6,22.14,17.87,15.8,49.3,0.8
Toronto,Canada,2021-06-03,59.09,33.92,52.69,7.25,7.34,9.39,2.22,36.2,32.5,8.6
London,UK,2015-03-12,66.19,23.05,67.25,10.01,2.24,17.53,7.18,23.3,65.3,6.1
New York,USA,2024-02-29,87.35,27.33,56.73,12.87,17.67,15.38,25.29,18.3,65.3,4.7
Dubai,UAE,2018-10-18,96.52,27.58,60.35,14.89,12.57,21.5,23.96,16.6,61.9,1.9
Nairobi,Kenya,2021-12-16,155.05,74.62,158.87,18.55,15.68,42.25,36.44,16.4,66.6,1.7
Sydney,Australia,2025-10-30,27.26,26.24,19.0,23.17,0.0,0.0,16.89,15.3,31.6,3.1
Paris,France,2022-06-30,70.01,27.59,52.25,13.92,0.0,34.68,2.4,8.3,34.9,6.8
London,UK,2016-12-22,98.48,53.35,78.88,13.01,14.36,36.99,12.02,25.7,58.4,2.3
Toronto,Canada,2020-12-31,80.35,30.58,42.67,11.47,5.38,37.64,11.41,23.3,51.8,1.1
Nairobi,Kenya,2017-06-29,92.9,38.95,60.85,20.29,7.86,28.87,22.94,33.8,79.6,6.2
Toronto,Canada,2025-07-10,69.25,39.54,93.44,16.54,10.51,7.0,3.37,16.1,72.9,1.6
Tokyo,Japan,2020-11-12,60.5,38.16,93.81,13.77,5.31,15.82,6.66,12.3,76.6,7.3
Bangkok,Thailand,2022-12-01,159.57,67.95,123.46,33.72,15.85,30.16,32.02,4.2,64.8,7.2
Buenos Aires,Argentina,2016-06-09,113.47,30.8,55.91,15.48,16.84,32.57,18.96,26.4,54.6,4.4
Delhi,India,2019-04-11,207.53,91.98,160.36,40.1,25.45,65.57,42.11,24.8,55.8,8.4
Paris,France,2021-06-10,59.9,20.99,0.06,7.98,12.69,24.4,9.11,26.7,48.3,3.9
Delhi,India,2025-12-04,219.69,110.45,195.74,31.33,33.18,53.37,42.44,15.6,64.7,1.6
Tehran,Iran,2016-06-09,145.81,60.55,95.64,18.8,20.5,48.11,29.93,48.9,83.7,6.9
Beijing,China,2016-12-01,223.0,112.76,202.33,37.22,32.68,69.4,48.21,24.4,53.7,6.5
Los Angeles,USA,2023-08-10,103.1,49.0,71.78,11.86,16.35,33.78,17.33,20.3,50.9,3.8
Sao Paulo,Brazil,2016-05-26,82.88,32.87,74.68,8.04,4.06,25.77,16.88,12.6,70.3,12.4
London,UK,2016-11-03,68.82,28.41,23.75,19.77,14.52,25.14,15.92,35.5,52.9,2.2
Los Angeles,USA,2020-06-04,68.22,30.75,45.4,1.17,5.78,1.55,21.56,17.7,38.3,4.9
Nairobi,Kenya,2015-01-15,156.56,60.42,104.09,21.73,25.17,52.6,39.45,30.1,40.5,5.2
Singapore,Singapore,2017-12-21,95.25,32.2,55.92,12.39,11.19,33.77,26.25,18.4,73.8,5.7
Nairobi,Kenya,2020-02-06,88.3,38.02,51.07,12.15,8.17,31.81,10.47,24.3,51.1,12.1
Karachi,Pakistan,2018-12-27,214.68,83.46,174.16,31.22,22.34,69.85,43.13,21.6,69.8,3.4
Cape Town,South Africa,2024-03-28,82.97,19.26,37.06,15.89,14.08,12.8,4.96,23.0,66.2,4.4
Beijing,China,2017-09-21,101.68,47.57,113.9,22.63,9.42,18.49,29.31,3.8,70.6,2.9
Dhaka,Bangladesh,2018-07-05,226.92,88.92,209.62,34.49,30.74,66.17,33.1,12.0,74.9,3.7
Sao Paulo,Brazil,2020-03-05,82.81,18.34,46.53,19.18,12.89,40.09,9.98,16.9,37.4,3.0
Moscow,Russia,2022-02-10,121.41,60.97,129.25,22.92,14.8,28.56,23.62,10.0,75.6,7.3
Beijing,China,2024-12-12,209.57,77.45,143.31,33.4,32.4,57.36,46.76,36.4,84.3,6.5
Seoul,South Korea,2024-01-25,106.66,54.22,105.63,21.17,11.23,17.15,19.94,17.5,70.0,6.4
Lagos,Nigeria,2019-12-05,191.52,68.32,117.57,27.98,27.32,46.49,33.07,23.2,85.8,5.8
Mumbai,India,2016-08-18,109.39,66.08,125.15,18.68,13.72,39.43,23.61,38.5,94.4,5.3
Buenos Aires,Argentina,2016-06-02,89.68,12.43,15.27,21.96,7.77,12.49,9.97,32.6,72.9,10.4
Karachi,Pakistan,2017-11-23,280.63,118.16,234.45,44.85,41.47,59.67,48.39,14.8,57.1,6.0
Toronto,Canada,2025-07-03,79.21,40.97,54.77,19.72,8.51,31.67,17.27,25.4,84.3,1.4
Delhi,India,2018-10-25,106.29,66.16,133.99,15.57,11.03,30.73,33.56,6.5,60.1,7.6
Moscow,Russia,2017-02-23,153.7,52.81,90.43,23.69,19.73,51.69,29.24,18.7,80.3,6.4
Jakarta,Indonesia,2025-06-19,104.69,45.81,86.1,12.72,15.41,27.33,22.07,52.4,92.0,3.7
New York,USA,2015-05-21,54.9,40.95,82.84,11.75,9.35,15.78,21.16,-3.1,67.2,8.6
Dubai,UAE,2022-11-17,140.25,57.17,74.96,16.39,17.16,41.39,41.71,15.5,63.1,5.5
Lahore,Pakistan,2025-02-27,310.75,124.2,218.0,51.9,45.37,93.77,50.08,32.1,61.0,6.7
Cape Town,South Africa,2022-04-28,63.58,49.89,90.58,0.69,1.84,8.41,12.42,18.7,51.4,7.5
Sao Paulo,Brazil,2019-01-03,133.46,65.95,119.73,16.34,11.21,33.95,25.88,18.2,60.9,2.4
Jakarta,Indonesia,2018-11-22,166.3,51.16,102.51,22.97,10.96,49.15,34.7,12.9,62.6,5.3
Nairobi,Kenya,2015-04-30,53.19,15.93,32.18,8.78,13.2,38.24,18.07,15.5,57.6,7.4
Karachi,Pakistan,2018-04-19,169.88,45.02,85.56,33.7,28.32,57.87,34.4,24.1,54.9,7.3
Cape Town,South Africa,2022-06-16,84.49,29.8,64.44,13.52,20.21,37.58,13.99,14.5,51.4,2.9
New York,USA,2015-02-19,90.92,58.9,106.74,12.41,8.75,27.16,20.54,24.9,70.2,6.6
Buenos Aires,Argentina,2015-03-05,82.44,41.12,102.02,17.89,12.27,39.86,23.43,19.1,46.7,2.0
Karachi,Pakistan,2021-06-03,101.97,27.3,72.23,4.96,8.41,43.35,21.96,32.9,53.2,1.4
Nairobi,Kenya,2022-02-24,146.08,75.54,,22.42,17.82,33.73,34.78,15.8,49.4,11.6
Mexico City,Mexico,2017-02-02,171.91,68.12,87.49,32.9,15.05,55.66,27.44,11.3,65.2,8.3
Sao Paulo,Brazil,2018-12-13,120.76,60.63,104.65,3.78,21.05,42.08,18.57,28.1,68.3,5.1
Tokyo,Japan,2024-08-22,56.41,27.03,53.9,23.22,3.13,22.88,9.78,4.4,73.0,6.5
Lahore,Pakistan,2019-10-03,165.73,61.78,132.73,25.79,32.0,38.79,30.22,35.3,72.3,3.5
Mumbai,India,2020-12-31,214.0,110.57,185.2,37.12,33.83,64.03,37.64,12.8,73.7,8.8
Nairobi,Kenya,2022-10-06,65.16,48.99,80.38,4.06,8.85,33.54,14.3,31.2,74.6,8.8
Paris,France,2022-10-13,46.37,12.34,20.56,13.32,1.75,15.34,20.29,10.6,78.3,8.5
Nairobi,Kenya,2017-03-30,70.43,32.29,54.17,19.95,5.32,19.98,0.41,32.3,39.9,16.6
Mumbai,India,2019-08-22,211.52,73.94,111.91,24.58,22.38,73.22,33.19,21.3,90.0,5.2
Lahore,Pakistan,2019-05-30,150.78,71.36,135.01,26.39,15.89,38.22,28.69,17.2,65.0,1.1
Sydney,Australia,2022-06-23,60.9,21.34,32.83,3.7,13.58,25.64,9.47,18.1,35.4,2.9
Cairo,Egypt,2019-04-25,141.63,71.32,142.1,27.34,18.89,38.39,18.7,0.8,42.4,2.7
Karachi,Pakistan,2024-04-11,173.45,70.32,127.56,22.25,18.33,40.84,36.72,-2.8,49.1,1.4
Delhi,India,2017-10-19,229.76,102.29,141.12,36.41,34.97,77.34,48.83,17.1,73.2,16.8
Nairobi,Kenya,2018-04-26,107.23,21.72,38.1,23.85,12.17,28.82,15.27,18.2,43.9,1.6
Moscow,Russia,2021-05-20,60.06,15.27,35.57,13.33,4.65,13.86,24.78,7.7,65.2,3.6
Moscow,Russia,2015-11-19,74.98,37.21,79.62,2.7,7.48,15.39,19.92,4.5,66.6,0.5
Nairobi,Kenya,2023-10-12,81.18,48.21,89.25,0.0,13.89,14.62,36.16,28.7,66.9,4.4
Tokyo,Japan,2016-10-13,37.74,9.44,20.18,2.65,0.17,14.98,8.44,20.4,64.7,2.4
Dhaka,Bangladesh,2016-09-08,184.32,92.63,164.02,31.96,16.57,42.65,33.26,6.5,65.8,6.5
Seoul,South Korea,2022-08-18,77.06,31.01,45.17,19.23,0.88,13.67,9.49,40.5,95.0,2.6
Delhi,India,2024-10-17,276.86,100.02,184.73,47.26,35.39,91.18,47.41,24.6,80.7,4.2
Buenos Aires,Argentina,2016-04-28,50.83,32.49,47.28,9.3,6.53,7.6,0.0,9.8,53.4,4.8
Bangkok,Thailand,2020-10-01,57.32,0.0,0.0,14.81,9.65,4.71,0.0,16.7,64.1,1.4
London,UK,2017-06-01,56.7,16.41,42.95,13.82,2.57,3.69,2.31,26.7,52.3,2.9
Seoul,South Korea,2021-08-19,94.3,35.32,101.73,15.99,7.94,19.85,17.87,22.8,60.9,7.5
New York,USA,2023-08-10,70.76,48.06,53.71,8.24,7.88,19.6,17.99,10.8,82.4,1.9
Nairobi,Kenya,2020-12-31,119.02,43.51,115.41,23.35,25.13,25.96,26.07,26.5,76.3,13.9
Tehran,Iran,2022-10-27,131.22,65.69,115.77,23.8,23.83,26.67,32.06,13.6,71.9,5.7
Paris,France,2025-07-31,41.63,24.57,27.54,10.49,0.0,14.15,5.26,21.2,61.0,5.7
Jakarta,Indonesia,2019-10-24,111.77,28.8,87.71,29.5,8.32,33.25,7.3,27.1,93.2,7.0
Sao Paulo,Brazil,2018-11-01,123.08,37.2,43.21,25.44,8.77,31.88,19.54,52.5,62.5,9.3
New York,USA,2020-06-25,80.75,32.4,78.72,16.72,18.95,28.88,17.83,16.2,69.4,2.4
Singapore,Singapore,2016-10-20,79.77,29.02,71.14,20.06,10.11,27.17,11.52,33.2,58.2,5.3
Shanghai,China,2020-02-20,198.36,84.32,140.9,32.46,31.95,61.81,36.96,13.1,69.9,6.1
Dubai,UAE,2016-04-07,130.36,53.95,79.56,16.75,13.49,36.15,18.93,34.2,68.1,1.4
Karachi,Pakistan,2021-12-02,230.43,122.15,230.68,34.45,34.64,43.7,35.95,6.8,85.8,0.7
Istanbul,Turkey,2016-10-06,121.25,49.88,66.58,18.33,11.02,29.78,23.64,29.9,75.0,5.0
Berlin,Germany,2022-01-20,76.49,23.76,55.04,16.04,13.77,36.13,8.27,26.1,49.7,4.1
London,UK,2018-04-05,69.99,4.87,42.55,6.58,7.17,16.45,8.88,17.0,61.4,3.9
Paris,France,2021-02-18,77.89,21.43,48.96,14.34,9.34,47.19,4.03,11.3,74.1,4.4
Shanghai,China,2017-01-26,133.49,53.88,102.22,26.54,20.37,21.58,19.16,25.8,95.0,2.7
Delhi,India,2020-10-01,122.82,60.18,110.59,15.19,17.24,27.99,26.88,32.8,72.9,2.1
New York,USA,2020-05-14,69.16,35.57,41.45,9.91,8.83,13.69,10.45,14.7,59.3,10.4
Tokyo,Japan,2025-08-14,55.69,43.05,111.71,12.36,4.46,13.7,14.78,25.4,60.5,4.8
Sao Paulo,Brazil,2025-07-31,111.37,47.75,64.3,10.32,10.42,45.9,30.09,28.1,66.5,10.7
Paris,France,2023-05-11,66.14,0.0,29.35,11.16,1.37,0.0,11.47,33.6,83.5,6.6
Buenos Aires,Argentina,2021-09-09,84.11,37.34,94.02,7.99,5.9,24.93,12.09,32.4,95.0,8.4
Seoul,South Korea,2021-11-11,86.61,36.45,43.59,7.25,22.89,38.87,11.31,12.6,73.2,3.2
Tokyo,Japan,2023-06-29,73.15,44.24,,17.37,9.33,19.44,10.83,12.6,52.1,3.4
Nairobi,Kenya,2016-05-05,129.48,44.43,75.96,14.31,16.92,20.41,24.2,26.5,64.8,2.6
Bangkok,Thailand,2021-01-14,198.18,81.66,177.34,24.86,32.84,52.41,35.07,-0.8,65.2,14.7
Karachi,Pakistan,2023-02-16,135.81,78.53,150.11,24.35,16.48,47.43,24.39,13.8,66.2,2.9
Karachi,Pakistan,2019-06-06,170.75,88.14,163.68,19.62,11.64,53.87,27.84,14.8,81.1,3.9
Moscow,Russia,2020-05-14,39.03,38.03,73.13,4.58,3.12,9.04,6.31,38.0,48.0,3.9
Lagos,Nigeria,2022-06-23,167.66,64.52,112.31,14.57,19.49,59.58,36.04,22.4,72.5,3.9
Cairo,Egypt,2024-11-21,301.3,120.94,256.78,51.15,39.51,73.53,54.41,13.0,58.6,2.8
Jakarta,Indonesia,2021-12-02,139.19,42.87,72.78,22.53,15.26,40.0,40.97,6.5,84.8,4.0
Seoul,South Korea,2024-11-14,130.13,48.86,76.21,21.88,8.31,18.12,17.59,25.0,63.3,12.9
Sydney,Australia,2022-12-15,69.05,17.74,62.4,9.75,12.54,1.8,7.05,19.7,65.7,8.1
Nairobi,Kenya,2018-11-29,133.07,36.14,32.03,25.6,14.63,48.6,17.89,18.2,81.9,9.0
New York,USA,2017-01-05,117.21,44.05,98.52,22.8,14.07,23.39,29.54,19.3,40.7,1.2
Dhaka,Bangladesh,2022-10-20,154.5,53.58,108.17,28.19,23.82,43.67,31.11,18.8,72.4,6.7
Nairobi,Kenya,2021-06-17,128.53,40.03,73.87,9.02,22.5,56.22,35.47,29.8,77.2,2.9
Lagos,Nigeria,2025-07-10,168.37,64.1,149.85,23.36,18.5,55.81,38.4,20.2,74.3,5.3
London,UK,2019-09-05,58.89,23.31,44.0,9.19,11.12,29.52,3.0,38.8,85.8,3.5
Sao Paulo,Brazil,2022-05-26,89.72,43.35,91.62,16.69,15.31,7.16,16.84,21.5,72.0,12.0
Los Angeles,USA,2021-12-09,94.34,30.69,61.94,11.45,11.91,26.68,15.1,13.4,59.6,10.5
Shanghai,China,2023-12-14,234.22,95.55,198.28,26.63,24.01,52.55,42.48,0.9,76.5,5.7
Tehran,Iran,2016-12-15,189.35,80.37,155.14,29.89,22.22,48.22,34.02,21.1,57.6,6.1
Toronto,Canada,2021-06-24,44.35,30.73,19.52,0.0,1.08,5.92,8.75,18.9,45.3,3.0
Berlin,Germany,2023-06-22,71.66,28.35,20.21,13.07,8.63,23.22,11.07,15.2,38.3,7.7
Lahore,Pakistan,2020-10-01,155.82,57.35,114.84,27.14,25.93,55.95,32.07,10.0,80.7,2.1
Karachi,Pakistan,2015-09-24,175.47,76.55,153.22,34.52,20.18,50.28,31.77,30.2,59.3,4.5
Tehran,Iran,2020-03-12,171.88,68.64,115.15,38.13,26.07,42.05,34.3,14.6,54.8,1.0
Tokyo,Japan,2022-02-03,47.52,21.77,43.75,6.12,13.03,34.11,17.07,24.3,65.5,12.5
Moscow,Russia,2024-10-03,77.41,40.01,54.75,12.82,2.78,8.21,9.97,23.8,44.9,8.3
Jakarta,Indonesia,2019-12-19,175.5,93.05,148.1,26.74,26.59,37.3,27.16,31.2,85.2,3.2
Moscow,Russia,2025-12-18,124.03,25.8,40.34,20.64,19.21,41.01,30.21,21.2,52.3,3.3
Berlin,Germany,2019-12-19,81.34,49.25,67.31,6.48,9.49,28.3,14.41,20.1,62.4,4.8
Buenos Aires,Argentina,2025-09-18,102.72,33.97,98.92,15.16,14.98,36.16,20.99,18.2,51.1,1.1
New York,USA,2018-09-27,57.61,18.23,8.28,14.63,11.46,19.71,11.13,11.1,70.0,2.1
Lagos,Nigeria,2020-11-12,214.02,90.67,159.93,38.45,23.47,58.45,35.12,7.7,51.1,5.1
Karachi,Pakistan,2017-01-05,205.26,82.91,152.78,36.78,28.05,67.9,36.82,22.6,70.2,5.1
Toronto,Canada,2024-08-22,62.15,29.63,55.47,12.86,7.8,14.77,16.17,22.8,69.0,8.1
Cairo,Egypt,2022-05-05,108.64,43.64,110.21,15.06,10.93,47.23,24.14,34.2,54.8,3.2
Shanghai,China,2017-06-01,153.55,57.12,132.32,36.09,20.23,53.9,35.29,18.1,65.9,3.2
Los Angeles,USA,2017-10-12,86.82,36.59,73.81,17.06,3.5,26.56,29.97,17.9,70.6,16.9
Sao Paulo,Brazil,2020-12-31,119.46,59.0,136.84,21.58,23.97,34.92,8.65,8.9,73.1,10.6
Moscow,Russia,2018-11-22,101.25,35.42,63.5,13.61,9.56,31.38,11.4,22.7,62.4,1.3
London,UK,2023-03-30,52.73,33.93,98.19,2.66,9.76,19.69,9.53,37.6,63.2,6.6
Mexico City,Mexico,2020-09-10,128.63,50.62,117.08,16.15,11.51,48.45,24.12,24.4,66.9,9.3
Beijing,China,2020-01-09,248.58,113.26,220.99,43.17,26.02,74.17,54.77,10.6,48.6,7.2
Sydney,Australia,2021-05-13,42.89,21.94,57.69,8.52,1.24,5.12,14.6,12.1,53.5,3.3
Sao Paulo,Brazil,2020-10-15,93.68,38.45,63.62,21.88,17.54,25.65,14.08,12.1,69.0,1.3
Jakarta,Indonesia,2018-06-14,161.64,81.42,156.14,22.21,23.11,49.91,25.95,28.2,64.5,1.0
New York,USA,2016-07-28,55.28,25.34,42.7,3.47,9.27,18.02,3.71,15.3,77.9,6.9
Mumbai,India,2018-07-26,225.96,111.86,234.0,35.08,30.53,62.55,38.06,30.7,74.6,2.9
Singapore,Singapore,2023-12-07,84.18,32.92,71.39,15.26,17.45,22.59,25.37,12.7,69.9,1.8
Cape Town,South Africa,2017-02-23,61.71,44.97,113.39,6.15,3.47,21.98,7.26,35.0,72.4,2.5
Karachi,Pakistan,2025-05-01,182.0,68.68,139.57,26.75,20.78,47.19,34.33,11.8,62.0,7.8
Jakarta,Indonesia,2024-07-11,170.3,65.83,89.21,28.77,26.3,50.17,38.36,12.2,41.1,1.4
New York,USA,2025-08-21,51.83,24.76,43.69,9.93,10.23,0.0,8.52,8.9,63.4,7.4
Mumbai,India,2024-11-28,238.27,103.86,182.91,42.04,28.2,60.92,54.73,28.5,64.7,4.6
Los Angeles,USA,2016-12-15,96.01,51.47,105.05,4.36,28.45,41.45,21.03,33.3,69.1,7.5
Los Angeles,USA,2023-04-20,68.4,48.92,81.35,18.15,5.58,16.02,9.92,15.1,62.9,3.0
Moscow,Russia,2020-08-06,134.66,44.68,122.15,16.35,10.85,35.85,22.12,12.4,54.0,8.2
Jakarta,Indonesia,2020-10-22,64.61,14.08,66.58,7.26,15.41,17.46,9.67,30.5,63.9,3.6
Istanbul,Turkey,2015-09-10,126.81,66.63,123.35,19.35,15.05,36.88,22.31,-0.3,86.2,4.0
Toronto,Canada,2025-04-03,67.83,43.89,101.08,0.0,0.0,26.05,17.13,6.7,58.2,6.9
Buenos Aires,Argentina,2022-12-01,54.95,14.78,6.01,12.56,1.16,12.86,17.91,25.7,54.4,6.8
Shanghai,China,2018-03-15,148.43,61.33,117.16,23.91,27.91,33.5,30.11,31.6,95.0,2.0
Tokyo,Japan,2021-01-28,74.61,25.15,68.95,12.26,1.45,22.01,6.02,30.6,63.6,4.5
Mumbai,India,2024-08-22,168.92,104.82,177.26,27.96,25.08,20.85,38.69,16.6,75.9,5.5
Jakarta,Indonesia,2015-10-15,138.94,36.68,74.98,11.88,20.22,36.98,34.04,13.3,76.7,1.7
Singapore,Singapore,2024-10-03,97.31,36.81,53.59,10.18,11.83,38.96,12.71,26.2,70.3,3.6
Cape Town,South Africa,2018-09-27,50.02,15.85,7.04,13.59,14.29,25.26,0.0,0.1,41.5,6.1
London,UK,2022-07-28,65.04,23.39,16.59,1.82,4.53,9.87,7.74,21.0,59.4,3.4
Mexico City,Mexico,2021-02-11,159.79,75.92,154.81,24.32,22.91,48.92,29.64,13.1,66.1,7.4
Beijing,China,2024-10-24,185.59,60.3,100.07,26.79,18.82,64.46,26.8,12.4,57.7,4.0
Cairo,Egypt,2016-06-30,180.14,79.37,163.25,18.8,28.2,42.22,37.04,37.2,53.0,2.3
Tokyo,Japan,2022-01-06,86.43,30.95,49.45,0.45,22.88,20.13,9.49,17.0,68.6,8.8
Paris,France,2015-04-09,51.35,26.52,52.41,14.58,0.0,15.65,18.15,20.6,47.9,8.0
London,UK,2023-10-05,70.92,39.11,21.72,9.69,8.84,24.12,0.0,11.8,59.3,7.1
Toronto,Canada,2015-10-08,41.0,21.83,41.33,5.38,6.43,11.82,6.28,29.4,43.3,2.2
Tokyo,Japan,2019-03-21,48.29,0.0,3.33,13.6,7.94,22.11,8.61,28.4,44.9,11.0
Nairobi,Kenya,2025-02-06,121.63,44.01,84.65,18.22,2.42,26.87,32.95,24.5,47.1,2.8
Jakarta,Indonesia,2020-02-27,203.63,96.59,158.4,34.85,33.45,50.79,38.59,18.8,59.7,4.1
Buenos Aires,Argentina,2018-09-13,80.43,0.69,45.66,5.17,8.96,26.02,15.46,20.6,70.3,1.4
Karachi,Pakistan,2021-02-04,141.96,50.29,100.86,28.22,22.43,37.23,29.62,17.8,59.3,9.4
Karachi,Pakistan,2017-10-19,145.34,76.36,124.61,22.45,13.21,35.88,20.37,10.5,76.6,4.2
Cape Town,South Africa,2024-07-25,62.64,40.58,66.34,0.0,4.8,26.67,8.38,19.2,68.4,3.8
Mexico City,Mexico,2020-05-07,80.88,29.12,55.08,6.71,7.81,7.74,6.42,17.5,50.9,5.7
Karachi,Pakistan,2018-08-02,199.58,86.88,182.83,27.66,26.16,54.37,44.12,40.6,56.6,0.7
London,UK,2019-12-12,83.13,43.93,87.02,5.81,20.21,32.44,17.87,13.7,90.0,1.3
Berlin,Germany,2020-07-23,44.5,16.87,15.59,10.69,3.7,20.47,1.02,10.1,73.9,8.9
Buenos Aires,Argentina,2021-03-11,53.55,33.71,73.94,,2.5,9.75,2.66,15.9,57.6,14.3
Istanbul,Turkey,2017-06-01,114.18,53.33,86.12,19.98,13.07,27.34,25.91,23.2,53.8,11.6
Sydney,Australia,2021-11-11,58.24,16.2,23.32,7.34,7.57,22.22,11.95,24.6,50.3,2.7
Istanbul,Turkey,2023-11-02,158.23,70.2,134.59,21.05,10.12,46.03,25.98,21.1,60.6,3.6
Lagos,Nigeria,2018-09-13,115.93,37.86,47.36,17.75,15.7,27.52,24.62,19.1,59.8,8.4
Buenos Aires,Argentina,2021-05-20,75.82,21.59,21.01,9.34,6.99,21.7,15.94,0.8,65.2,5.6
Mexico City,Mexico,2022-11-03,155.68,85.22,173.69,26.32,22.05,45.66,24.0,10.5,74.7,2.6
Paris,France,2019-08-15,69.37,40.14,79.37,6.67,12.96,25.05,23.17,31.6,37.9,2.2
Karachi,Pakistan,2025-06-26,167.42,77.25,120.93,32.69,21.36,56.45,25.26,18.0,60.9,2.2
Lahore,Pakistan,2022-09-22,129.5,52.94,120.78,36.06,12.1,39.2,25.33,0.6,57.3,7.8
Mumbai,India,2018-12-13,132.18,60.79,112.0,9.69,6.79,30.43,22.2,27.5,48.4,11.3
Shanghai,China,2017-03-30,131.98,54.3,157.61,24.14,22.01,38.23,15.89,23.0,40.8,3.8
Lahore,Pakistan,2021-11-11,258.1,83.85,153.61,51.7,36.26,71.27,49.84,32.6,49.3,3.9
London,UK,2022-08-04,48.8,26.12,54.14,7.08,16.83,33.89,0.0,15.3,90.8,8.0
Berlin,Germany,2018-06-21,56.58,45.99,86.52,13.98,9.32,11.46,22.59,21.9,54.4,4.4
Mexico City,Mexico,2016-01-14,185.4,74.97,155.32,20.24,15.87,48.39,29.0,14.8,61.7,6.8
